2026-01-04 10:46:01 | GPU 0 | INFO | DDP device mps
2026-01-04 10:46:01 | GPU 0 | INFO | DDP rank 0
2026-01-04 10:46:01 | GPU 0 | INFO | DDP local rank 0
2026-01-04 10:46:01 | GPU 0 | INFO | DDP world size 1
2026-01-04 10:46:01 | GPU 0 | INFO | DDP master process True
2026-01-04 16:31:11 | GPU 0 | INFO | DDP device mps
2026-01-04 16:31:11 | GPU 0 | INFO | DDP rank 0
2026-01-04 16:31:11 | GPU 0 | INFO | DDP local rank 0
2026-01-04 16:31:11 | GPU 0 | INFO | DDP world size 1
2026-01-04 16:31:11 | GPU 0 | INFO | DDP master process True
2026-01-05 14:33:51 | GPU 0 | INFO | I am GPU 0
2026-01-05 14:33:56 | GPU 0 | INFO | total desired batch size: 524288
2026-01-05 14:33:56 | GPU 0 | INFO | => calculated gradient accumulation steps: 2
